Question,Answer,clean_question
What battery does this monitor use? I would like to buy spare ones for it.,"Mine came with a Canon LP-E6 battery and recharger. According to the literature, it is also compatible with Canon B511 and Nikon N-EL3E (elsewhere noted as Canon BP511 and Nikon EL3)I've only used it once and despite the fact that I ensured the battery was fully charged, it only worked for less than 10 minutes and so I had to switch to the regular power cord and connect to an electrical socket.",what battery does this monitor use i would like to buy spare ones for it
Will it fill a Rav 4?,Compartments easily adjustable. Velcro strips on the bottom of each compartment adheres to carpet. I have an Impala (huge trunk) and it could accommodate yet another compartment. I would rate this a best buy.,will it fill a rav 4
I'm looking for spare/replacement parts for this bike. Can anyone tell me what the specifics are for the inner tubes and tires?,"I believe that information would be printed onto the outside of the tire... should give the size, how much air to put in it, etc... local bike shop can help, bring the front wheel to them, it detaches quite easily...",im looking for sparereplacement parts for this bike can anyone tell me what the specifics are for the inner tubes and tires
I am struggling to decide between this pack and the 5.11 Rush 24 Back Pack. Can anyone shed some insight about their experiences with both?,"I have both and go back and forth between which one I like more. I really like the COVRT for normal day to day use without looking very military or tactical. I use the Rush 24 as my flying bag for missions now and for some general other uses when i feel like I want to add on MOLLE packs. I really haven't had a need to add much to the Rush 24 though, it has lots of pockets. The admin pockets in the Rush 24 are in the bigger front pocket, while the admin pocket in the COVRT is a bit smaller. The COVRT has the large mess water bottle holders. Originally I thought this was the reason for the COVRT being better, but I have found that I am almost more happy putting my water bottles in the zip up side pockets that the Rush 24 has. Both bags have lots of mess organizers on the inside. The COVRT has the padded laptop section while the RUSH 24 doesn't have one but has a little pouch at the bottom. I personally put my laptop in the hydration section in both bags. Overall, I think the COVRT has better style, but the Rush 24 has a few more pockets. Both are of excellent quality and the yoke system distributes the weight really well.",i am struggling to decide between this pack and the 511 rush 24 back pack can anyone shed some insight about their experiences with both
Does it provide enough support for a newborn?,It absolutely provides enough support for a newborn. I use it for my 3 month old great nephew but we've put him in it since he was nearly 2 months old without incident.,does it provide enough support for a newborn
Can pots fit on every hook? Or should I buy additional hooks?,That really depends on your pots and pans and implements - I will say that I bought extra hooks and they are sitting in my drawer tights now. :D,can pots fit on every hook or should i buy additional hooks
"Will this rig work with my S&W mdl, 29 .357 with a 8 3/4"" barrel?",I believe so. I had to put an empty beer bottle in mine to kinda stretch mine out so the S&W; 500 would fit. I also got the bandolier cause it looks badass,will this rig work with my sw mdl 29 357 with a 8 34 barrel
why can't I get local channels?,on mine i had to do auto tuning but i also had to connect the cable tv cable that was not operational to the back of this power antenna then out from antenna to tv make sure antenna is pluged into wall and turned on this worked for me but this antenna still wont ge every channel so i ended up going to radio shack and put up an outdoor antenna that worked perfect and gets every channel crystal clear it was 37.00 this antenna is the best iv ever used and will recomend it to anyone it has a 50 mile range from the mountain where signals are transmitted try this and good luck to you gary,why cant i get local channels
How would 2 of these sound being run on a Kicker DX500.1? Wanted to upgrade my amp &amp; subs w/o breaking the bank plus I already have a Kicker bass knob,"U need to adjust your hurts dbs and volume, make sure that the volume is not turned up.",how would 2 of these sound being run on a kicker dx5001 wanted to upgrade my amp amp subs wo breaking the bank plus i already have a kicker bass knob
Do you need wraps with these gloves? Saw these on another site and asked that and they said no. But always hear they're important.,"I only use then for a few minutes, 3 times a week. I do not use wraps. I do however have on weight lifting gloves when I wear them. Not because they are needed but in order to make a smooth transition to me next exercise. I hope this tidbit of info helps.",do you need wraps with these gloves saw these on another site and asked that and they said no but always hear theyre important
Is fine shredder attachment really fine? Does the fine shredding disc on the DLC-2011 really shred carrots/cabbage/beets/potatoes finely?,"No, N....its a large hole shredding blade. They sell a fine shredding blade but it'll cost an arm & a leg, I think I spent almost $60 on one for my 14 cup model...just so I could make carrot cakes. And btw....it tends to get clogged, so it wasn't really worth it. Rather than dirty & have to wash all those parts of the FP I just drag out the old manual fine shredder & take 2 minutes & a little elbow grease to do the job.",is fine shredder attachment really fine does the fine shredding disc on the dlc2011 really shred carrotscabbagebeetspotatoes finely
can this be used with a Behringer x32 producer,x-32 is not rack mountable; it would sit on top of this case; the biggest board you can mount in the top (inside) of this rack is a yamaha mg-16,can this be used with a behringer x32 producer
does this have a soapy smell,I don't know about the purple Versace but the blue Versace one you can't go wrong. I'm telling you,does this have a soapy smell
Can I print them in an inkjet printer? I have a canon IP 3500,The only complaint I had was the paper is really thin..and the ink bled...so the images were not clear at all....i didn't like this paper at all.,can i print them in an inkjet printer i have a canon ip 3500
"Is this all metal construction? And is it meant for long term use (i.e., not a one-month or one-time use gun)?","The tube and internal parts(of the tube) are metal. However, the handle, trigger, adjustment are nylon/plastic. It does seem to be holding up well so far.I've run four cans of foam through the beast. Doesn't seem like much, but I am able to foam more controllable, wasting less.",is this all metal construction and is it meant for long term use ie not a onemonth or onetime use gun
WILL THIS WORK ON A WESTIE?,I use it on my Cairn Terrier which is in the same family as the Westie although I think a regular brush works just as well on her. I have found that it works great on my foster Chihuahua's. I wouldn't use anything else on them.,will this work on a westie
H&B Oils Center Co. sells Neem Oil Virgin Organic Carrier Unrefined Cold Pressed also $15 but for 16 oz. What's the difference?,"The difference is in the active ingredient,some cold pressed neems are cosmetic grade at best,. Neem Pro has the active ingredient azadirachtin mother natures most powerful organic insecticide 3750ppm-4500ppm.",hb oils center co sells neem oil virgin organic carrier unrefined cold pressed also 15 but for 16 oz whats the difference
"Charging the Battery I have ordered the CMM1200 and look forward to it's arrival. However, I'm concerned about overcharging the battery because of a horrendous experience with my B&D Cordless Drill. I left it on charge and ended up having to replace the battery and the battery charger (ouch!), so I'm quite ""gun shy"". Is this a so called ""smart battery charger"" that won't over-charge? And while I have an opportunity to ask someone who may know, is my replacement 18 volt Fire Storm Charger a ""smart charger""? Charging the Battery I have ordered the CMM1200 and look forward to it's arrival. However, I'm concerned about overcharging the battery because of a horrendous experience with my B&D... » Read More Charging the Battery I have ordered the CMM1200 and look forward to it's arrival. However, I'm concerned about overcharging the battery because of a horrendous experience with my B&D Cordless Drill. I left it on charge and ended up having to replace the battery and the battery charger (ouch!), so I'm quite ""gun shy"". Is this a so called ""smart battery charger"" that won't over-charge? And while I have an opportunity to ask someone who may know, is my replacement 18 volt Fire Storm Charger a ""smart charger""? « Show Less","I've had the CMM1000 for over five years now, still with original battery. I always mow in the late afternoon or early evening, never let the battery needle get into the red, and keep it plugged-in when not in use. It sits in a shed about 30 feet from my house - I just run a heavy-duty extension cord from an outside plug to the shed. The mower stays plugged-in even during the winter.If you keep it on the charger, and don't abuse it by trying to cut grass that's too tall, it will serve you well for many years. I love this mower!",charging the battery i have ordered the cmm1200 and look forward to its arrival however im concerned about overcharging the battery because of a horrendous experience with my bd cordless drill i left it on charge and ended up having to replace the battery and the battery charger ouch so im quite gun shy is this a so called smart battery charger that wont overcharge and while i have an opportunity to ask someone who may know is my replacement 18 volt fire storm charger a smart charger charging the battery i have ordered the cmm1200 and look forward to its arrival however im concerned about overcharging the battery because of a horrendous experience with my bd read more charging the battery i have ordered the cmm1200 and look forward to its arrival however im concerned about overcharging the battery because of a horrendous experience with my bd cordless drill i left it on charge and ended up having to replace the battery and the battery charger ouch so im quite gun shy is this a so called smart battery charger that wont overcharge and while i have an opportunity to ask someone who may know is my replacement 18 volt fire storm charger a smart charger show less
"Would this work to make homemade tortillas? I'm looking for a press that I can use for that, and to press sandwiches & toast on my 10"" flat CI skillet","I wouldn't recommend it for tortillas. I bought an actual press and even that couldn't produce nice, thin tortillas. Ended up using a rolling pin. Ended up never making tortillas again.",would this work to make homemade tortillas im looking for a press that i can use for that and to press sandwiches toast on my 10 flat ci skillet
"Add says, ""2 pack"" does that mean 2 toilets for advertised price? Just makin sure. Thanks!",No. I think that what they mean is that the bowl and the tank are in 2 boxes. Sometimes the bowl is sold separately from the tank.,add says 2 pack does that mean 2 toilets for advertised price just makin sure thanks
How long does the smell last? I unrolled the mat in my basement and after a week it smells like a Goodyear tire factory.,"If you use the mat on a regular basis (i.e., three times a week to daily) the smell goes away within a couple weeks as the mat absorbs your body oils, which seem to neutralize the rubber odor. Leaving the mat out unrolled and unused will not help.",how long does the smell last i unrolled the mat in my basement and after a week it smells like a goodyear tire factory
"Is the cover over the display clear, hard plastic, or is the screen exposed?",It's not like the otter box that has a hard plastic over the screen. It comes with a screen saver to stick on before putting the rest of the cover on.,is the cover over the display clear hard plastic or is the screen exposed
I received these a few days ago and do they drastically improve with burn in? I am thus far not totally impressed with the detail/separation. Thanks!,"It is hard to tell how much it it be improved. The cruel fact is not all amps given certain speakers/ headphone same result, thus system matching is critical in audio term; one sounds better with this amp but less impress with others IMHO.",i received these a few days ago and do they drastically improve with burn in i am thus far not totally impressed with the detailseparation thanks
"Does the hook open to a minimal of 1-3/4""? Is it a 2-pack so the other hook holds the smaller end?",There are two hooks. One for the front of the rifle and then one for near the trigger area.,does the hook open to a minimal of 134 is it a 2pack so the other hook holds the smaller end
will this bag fit this five star binder? http://www.amazon.com/Five-Star-Hybri...,no it won't fit a regular sized binder. If you go to Ogio.com you can find the dimensions of all their bags. they have one that is bigger then this one and I believe it would fit a binder and a laptop.,will this bag fit this five star binder httpwwwamazoncomfivestarhybri
I have Sony memory stick pro duo that I need to plug into SD slot what kind of adaptor do I need?,The mms and sd cards are incompatible. No adapter exists that will allow what you want to do. Your only solution is to get a universal card reader and download the data from one on to a laptop o or desktop or tablet. Then upload that same data file to the other card.,i have sony memory stick pro duo that i need to plug into sd slot what kind of adaptor do i need
would this handle a mosin?,That's a 7.62 mm right? I would say so. It's much higher quality than I would have expected for the price.,would this handle a mosin
"Do these balls bounce like a regular ""playground ball""? Thanks!",They do not bounce very much at all. They are very soft and spongy and perfect for dodgeball. They fly very well when thrown.,do these balls bounce like a regular playground ball thanks
What is the difference between stranded and solid wires?,"Stranded wires are made up of small strands of wire, while solid wire is made from a single strand of wire. Stranded wire is more flexible than single strand wire. Stranded wire can be moved over and over. Solid core will tend to break if it is moved repeatedly. In hook up wire, there is almost no difference in the current carrying ability between stranded and non stranded. In larger wires it can. Think of it this way: an an extension cord is made from stranded wire, whereas the wire used in building construction is single strand. Extension cards can be easily moved. You wouldn't move the wire in the wall of a house.",what is the difference between stranded and solid wires
Can it hold 120 lbs????,"I would say probably not. Plus, any person or thing that is 120 lbs is probably too large to fit in this wagon very well...! My 23 pound 19-month old is almost too big. And, even if it would hold that, I'm not sure the handle would hold up if you pulled it around.",can it hold 120 lbs
Can I hook it to my built in trolling motor transduce?,I don't think so. Electronics are funny things though. Maybe if you were an electronics guy.,can i hook it to my built in trolling motor transduce
Are these nitrogen purged? Is there only one adjustment in the middle or is there one for each eyepiece?,These are nitrogen purged as are most quality binoculars. Some manufactures now offer argon purge but genrally considered higher cost with minimal additional benefits. There is a single adjustment in middle for both tubes. The right eyepiece has the fine focus so that you can adjust for vision differences between you eyes.,are these nitrogen purged is there only one adjustment in the middle or is there one for each eyepiece
Can it weigh under an ounce? International letters can't be more than 1 oz.,Yes. It measures in 1/10 of an ounce increments. Nice scale. Very accurate.,can it weigh under an ounce international letters cant be more than 1 oz
How fresh is this product? How long is the maximum length of time you keep your products before not selling them?,"Think your question is addressed to the manufacturer but I will tell you what I know. I recently received a bag of 60 chews. My dog gets 1/2/day. While there is nothing on there that is a 'best buy date', I see the numerals 0316 which may indicate March 2016. I have no idea if this is the case. This current packaging is fairly new also. Good luck getting your question answered.",how fresh is this product how long is the maximum length of time you keep your products before not selling them
I wear a size 7 shoe what size of sock should I order?,Get medium. They run small. I wear size 8.5 and medium is very snug on my feet.,i wear a size 7 shoe what size of sock should i order
Is there a parent console that would work with this and is there any tricks to get extra storage with this stroller?,I bought a stroller organizer for mine and it's flexible so it bends when I fold the stroller so it works well. There's baskets underneath the stroller and pouches on the back so there's plenty of storage. Here's the organizer I bought. http://m.toysrus.com/skava/static/product.html?type=TRU_product_us&url;=%2Fproduct%2Findex.jsp%3FproductId%3D18171256%26cp%3D2255957.2273443.2256189.3225200.3225205%26parentPage%3Dfamily&domain;=http%3A%2F%2Fwww.toysrus.com,is there a parent console that would work with this and is there any tricks to get extra storage with this stroller
Does this fit under the seat or does it have to go in the overhead?,It fits both. :) We flew United. The only flight it didn't really fit was on a small prop plane that we used for a short leg of our journey.,does this fit under the seat or does it have to go in the overhead
how do i install the back,Just push the back down. I hope your chair operates better then mine I have to get my husband to get me out.,how do i install the back
How is the light holding up? Is it water tight? Any problems with condensation? Will be puting on 07 Jk...,"It's holding up great so far, live in Wyoming strong winds and rain / snow, ( water tight so far ), it is very bright, it's mounted on the roof of a 2013 raptor",how is the light holding up is it water tight any problems with condensation will be puting on 07 jk
How can you carry it with you if you are out walking or doing anything other then laying or sitting. It did not come with any clips for belt attach?,"This electronic pulse massager does not have a clip to attach to belts while walking, running or jogging. Besides it is too large to clip to a belt.",how can you carry it with you if you are out walking or doing anything other then laying or sitting it did not come with any clips for belt attach
can you tell me the diamentions of this cup? height width,"about 8"" high and 10-11"" diameter. heavy ceramic. I used 6 for cool coffee carts at Denver's Convention Center.",can you tell me the diamentions of this cup height width
Can you use any other brand of bottles with this pump?,"No. I tried to use other but did not fit. Anyway, main problem is the air pipe. Please arrange the replacement asap. Thank you.",can you use any other brand of bottles with this pump
Do you get 1 or 2 floor standing speakers?,"I bought two TSI 500, plus a center speaker and a subwoofer all a manufactured by Polk. FYI, I am very happy with all of these Polk speakers.",do you get 1 or 2 floor standing speakers
Is the dough hook stainless steel?,I believe so but the reviews I read when purchasing this mixer said there were multiple problems if you were mixing bread dough. Their customer service even asked me if I was making bread.,is the dough hook stainless steel
I have a recipe that says to grease and lighly flour the pan. Is this necessary for this non- stick pan?,"If the batter has butter or oil, it is not necessary to grease this pan. However, I have had better results using a light spray and flour on some cakes.",i have a recipe that says to grease and lighly flour the pan is this necessary for this non stick pan
Would this work for hanging a hammock chair from a tree branch? I want to install a rope and carabiner and be able to take chair off the tree easily.,I would braid about three strands of the cord to accomplish what you want to do. It would be an increased safety factor but it certainly would do the job.,would this work for hanging a hammock chair from a tree branch i want to install a rope and carabiner and be able to take chair off the tree easily
Does this stoneware chip like most? That kind of ruins the whole set when it happens....??,"Yes, it can chip...we have one bowl that has a chip from 2+ years of service, but that is not a lot. We have 12 plates, 12 salad plates, 15 bowls (one broke and one chipped). Not bad for the length of time in service. They do offer replacement items also...",does this stoneware chip like most that kind of ruins the whole set when it happens
"I can see that this laptop has VGA, HDMI and mDP. Can I connect one or two additional monitors for using them at the same time to extend the desktop?",I'm not sure about two monitors - rather not. Single additional monitor works perfect - you will get extended desktop. Though I haven't tried the mDP used only VGA and HDMI. I'd like to add that I'm very happy having such a good machine I haven't seen anything similar on the market. Good luck.,i can see that this laptop has vga hdmi and mdp can i connect one or two additional monitors for using them at the same time to extend the desktop
Does the white come clean if it gets dirty on the purple and white case??,I have the blue and white case and because the white part is rubber it gets really dirty. I don't think it comes clean...I've tried several methods to clean mine. I recommend getting a case where the rubber is a darker color.,does the white come clean if it gets dirty on the purple and white case
can you use hot wheels with Mac?,yes depends on the size because the big die cast from disney cars don't work,can you use hot wheels with mac
"Thank you for the helpful responses. I see this similiar exhaust setup by Spec-d, but for some it says it only fits the EX version of the 96-00 Civic, Where this one says anything 92-00. I just want to make the full exhaust, headers included, will fit my 1997 Civic DX D16Y7 with no issues. Thank you for the helpful responses. I see this similiar exhaust setup by Spec-d, but for some it says it only fits the EX version of the 96-00 Civic, Where this one says anything 92-00. I just... » Read More Thank you for the helpful responses. I see this similiar exhaust setup by Spec-d, but for some it says it only fits the EX version of the 96-00 Civic, Where this one says anything 92-00. I just want to make the full exhaust, headers included, will fit my 1997 Civic DX D16Y7 with no issues. « Show Less",Dnt get it. Da sensor is Wea da main prob gonna be. Cnt explain but dnt get it,thank you for the helpful responses i see this similiar exhaust setup by specd but for some it says it only fits the ex version of the 9600 civic where this one says anything 9200 i just want to make the full exhaust headers included will fit my 1997 civic dx d16y7 with no issues thank you for the helpful responses i see this similiar exhaust setup by specd but for some it says it only fits the ex version of the 9600 civic where this one says anything 9200 i just read more thank you for the helpful responses i see this similiar exhaust setup by specd but for some it says it only fits the ex version of the 9600 civic where this one says anything 9200 i just want to make the full exhaust headers included will fit my 1997 civic dx d16y7 with no issues show less
I have an RV and travel to locations with open wifi. Signals are weak in some locations. Looking to boost signals of any available network.,Should work great for your needs. I'm using mine as a wifi receiver with Ethernet cable with a non wifi equipped computer in an out building about 100' from my wifi router.,i have an rv and travel to locations with open wifi signals are weak in some locations looking to boost signals of any available network
"How well do these work for holding stomach flab in place when you're exercising? I need something that will ease the ""jostling stomach pain"". Thanks","not at all. this is what I was expecting when I bought it, but alas, no go with these...sorry.",how well do these work for holding stomach flab in place when youre exercising i need something that will ease the jostling stomach pain thanks
how noisy is it...it will be in basement under living room?...also can the tube run 21 feet to a sink for drainage?,Very quiet. Only on for a few seconds. Yes it will push water 21'. There is a limit on how high you need to lift the water though.,how noisy is itit will be in basement under living roomalso can the tube run 21 feet to a sink for drainage
I got this shipped to me and there is a BIG problem. It's locked and there is no key. I can't open it? HELP!,"Don't even waste your time with trying to get it open, just send it back with an explanation and wait for one with no problems. You'll be by far, better of, and you'll have gotten what you've wanted all along, with a bit of an extra wait. Chances of damaging the one you have grow each time you consider another option. mail it! Good luck.",i got this shipped to me and there is a big problem its locked and there is no key i cant open it help
What type of light is used on top? Anything that mounts from the bottom?,"Light on top is not included, can be sources and purchased elsewhere. I choose an LED with solar charger. The light is good for about 15 feet, and I used two poles and lights on either side of a boat dock. Not sure what you mean by mounts from the bottom. Were you to use an a/c fixture you could fish a wire up from the bottom. The pole mounts on an 8' 4x4, set in concrete to stabilize it, concrete and pole not included.",what type of light is used on top anything that mounts from the bottom
How can I be certain this is a match for my model and caliber revolver?,"I'd just go by the model list in the description of what it fits. I believe this is the one I use for my old S&W; .38 special M&P; made in the 1940's, but there is a long list of S&W; models this fits with.",how can i be certain this is a match for my model and caliber revolver
"what is this toy? Do you put water in it? Pretent you are pumping gas? I assume the hose comes out? Sorry, I am unfamiliar with the latest toys.","Basically it is a fake gas pump that little kids can pretend to put gas in their cars/trucks etc, just like mommy and daddy It has buttons to make noises like gas pumping, credit card swiping.No you can't put water in it and the hoses don't come out. Hope this helps.",what is this toy do you put water in it pretent you are pumping gas i assume the hose comes out sorry i am unfamiliar with the latest toys
"I am looking for a simple smartphone. Nothing facy, and everyday I am constantly checking my email by computer, does it have both wifi and emailing???","I am not using this cellphone, I gave it to my brother and it is used mainly for calling. He did say that the internet capability is pretty decent. Sorry, can't give you more info.",i am looking for a simple smartphone nothing facy and everyday i am constantly checking my email by computer does it have both wifi and emailing
What is the difference between zinc gluconate and zinc picolinate?,"I'm far from being a doctor or vet to answer that question but google stated: Zinc Picolinate - A form of zinc that has been chelated to picolinic amino acids. Zinc Gluconate - One of the most popular forms of dietary zinc, zinc gluconates are created by a process of industrial manufacturing. This process essentially ferments glucose, offering a supplemental product with an extremely long shelf-life. Unfortunately, gluconate supplements are just a chemical substitute for actual zinc. Sadly, the body absorbs very little of this processed form, as the bio-availability of these chemicals is virtually none. Furthermore I was told by my vet Zinc Gluconate is the only type of zinc sources that is safe to buy over the counter supplements for your dog if you use the appropriate weight by mg measurements. I personally use this brand as a Zinc regiment for my g. sheps. Just make sure that you use the right amount and feed it with food because if you don't it will disrupt their stomach acid and cause them to spit it up with bile in their stomach.",what is the difference between zinc gluconate and zinc picolinate
ipod nano 2nd gen freezing As of 5/31/07 my nano still freezes sporadically after syncing. I'm on firmware 1.1.3. I bought it about 6 months ago. Are people that have bought a nano 2g recently (within 1-2 months) still experiencing this problem? If there is a hardware fix (firmware has not seemed to make a difference). Then I want a new one.Please let me mow if people who have bought nano recently are experiencing this problem. ipod nano 2nd gen freezing As of 5/31/07 my nano still freezes sporadically after syncing. I'm on firmware 1.1.3. I bought it about 6 months ago. Are people that have bought a nano 2g recently... » Read More ipod nano 2nd gen freezing As of 5/31/07 my nano still freezes sporadically after syncing. I'm on firmware 1.1.3. I bought it about 6 months ago. Are people that have bought a nano 2g recently (within 1-2 months) still experiencing this problem? If there is a hardware fix (firmware has not seemed to make a difference). Then I want a new one.Please let me mow if people who have bought nano recently are experiencing this problem. « Show Less,I have the same problem with a Nano 2g bought maybe around 10/06. Very annoying! Anyone heard of a fix?,ipod nano 2nd gen freezing as of 53107 my nano still freezes sporadically after syncing im on firmware 113 i bought it about 6 months ago are people that have bought a nano 2g recently within 12 months still experiencing this problem if there is a hardware fix firmware has not seemed to make a difference then i want a new oneplease let me mow if people who have bought nano recently are experiencing this problem ipod nano 2nd gen freezing as of 53107 my nano still freezes sporadically after syncing im on firmware 113 i bought it about 6 months ago are people that have bought a nano 2g recently read more ipod nano 2nd gen freezing as of 53107 my nano still freezes sporadically after syncing im on firmware 113 i bought it about 6 months ago are people that have bought a nano 2g recently within 12 months still experiencing this problem if there is a hardware fix firmware has not seemed to make a difference then i want a new oneplease let me mow if people who have bought nano recently are experiencing this problem show less
"My Dolphin DX3's chord is getting tangled causing the unit to ""rare up on its rear"" and remain in one spot. Anyone else have this issue? Any ideas?","I've never actually had this problem, although I do ensure that the cord is completely 'unwound' on the patio before I release the cleaner into the pool. Sorry I can't be any more helpful.",my dolphin dx3s chord is getting tangled causing the unit to rare up on its rear and remain in one spot anyone else have this issue any ideas
After shaving do I use this product and an aftershave?,"No. This product would be used as your aftershave. make sure that if you are using this on your face that you are applying sunscreen with at least 30 SPF and do not apply it right before you plan to head out to the beach or plan on being in direct sunlight for awhile; with the glycolic and lactic acid, paired with the alcohol and salicylic acid, it will definitely irritate your skin and give you a pretty bad sunburn. Hope this helps",after shaving do i use this product and an aftershave
How quickly does this turn on and off? Is it closer to a second or a tenth of a second? And does it turn off automatically when the video feed stops?,"It turns on almost instantly, definitely less than a second. And as soon as video feeding stops, it shuts off as well.",how quickly does this turn on and off is it closer to a second or a tenth of a second and does it turn off automatically when the video feed stops
can the cleaner be used on bamboo flooring. Currently using Zep,If you have strand bamboo its very likely you have POLYURETHANE SEALANT. I have Cali Bamboo and its final coat sealant is REFFERT ACRYKIC POLYURETHANE UV ANIT-SCRATCHFINAL COAT. I use Black Diamond and get much better results then Bona,can the cleaner be used on bamboo flooring currently using zep
will this case hold a 10' four piece??,Yes I have a 4piece 10ft Clearwater Orvis rod on one side of the case and a 9ft 2piece on the other side. I just keep the 10ft assembled in to 2 pieces instead of 4,will this case hold a 10 four piece
what bike does this fit?,I bought this seat for a 2013 Street Glide. I would think it would fit all the touring bikes from 2012-2013. I love this seat. Very comfortable.,what bike does this fit
how much volume is available,its ok but get more volume when its plugged in directly also the newer speakers from other companys are getting louder,how much volume is available
"Sometimes closing my laptop lid on my HP Envy 15 shuts off the external display, sometimes it doesn't. Has anyone solved a problem like this?","Have not had this issue. Biggest issue I have is my ASUS laptop recognizing the Anker hub on the first start-up and my external monitors working. Seems no problem waking from sleep mode, only from shutdown mode.",sometimes closing my laptop lid on my hp envy 15 shuts off the external display sometimes it doesnt has anyone solved a problem like this
"i have a Mazda 3 and after putting an old CD in, it says 'Check CD' and wont read/ play... Its a slot 1 disc player.... Will it work for my Mazda?","It should work, unless its a more serious problem. Its worked like a charm for me, and its cheap so if it doesn't work its that huge of a deal.",i have a mazda 3 and after putting an old cd in it says check cd and wont read play its a slot 1 disc player will it work for my mazda
Need heavy phone. Is it as heavy as the old Western Electric 2500 (almost 4 lb.) The Scitec competitor 2501E is heavy at 3.8 lb.,"This has a plastic body over a metal frame. I don't think it's quite four pounds. But it's definitely not light. (The website says the phone is only 1 pound -- that was NOT true of the phone I received.... it might have changed since I bought it several years ago.) If you need a phone that isn't going to move, though, Cortelco makes some phones that can basically be BOLTED down. Take a look at their other stuff.",need heavy phone is it as heavy as the old western electric 2500 almost 4 lb the scitec competitor 2501e is heavy at 38 lb
Does this holder hold triangle shaped picks?,"If you mean the # 346 style pick, (equilateral, slightly rounded corners,) common with acoustic and mandolin players- yes, it fits them perfectly. I'm Th holds tightly, and the adhesive works very well.This is the only holder I've found that holds the 346 picks, which makes it great for me. Take care!",does this holder hold triangle shaped picks
Is the gallon container of coconut oil really hard to open?,"I've never had a gallon container, so I can't honestly answer this question.",is the gallon container of coconut oil really hard to open
Is there a tool attachment that is flexible/bendable for cleaning out light fixtures? I have to reach over the top on my chandelier.,No there is not. It has a flexable hose but not a flexable attachment. I DO NOT recommend this vac. It is terrible. There are much better options at MUCH MUCH better prices. My Bissell works 10 times better as does my Orek. I was also recommended this which is much less: $79: http://www.amazon.com/gp/product/B00AZBIZTW/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1 Good luck.,is there a tool attachment that is flexiblebendable for cleaning out light fixtures i have to reach over the top on my chandelier
Length of this scope. Is it too long for a target pistol?,"It's just over 12"" long. It's pretty much a ""full sized"" scope (at least it is on my 10-22). Hope this helps.",length of this scope is it too long for a target pistol
"I have a 2001 Honda ""CR-Z"" Does is come with installation instruction?","The lights do not come with instructions but there is only 3 wires to connect. Also, you need to reuse the spring clips from the old reflectors.",i have a 2001 honda crz does is come with installation instruction
Does this work with ps4 & xbox one?,"Jude, being that there is no software you have to install with this microphone it should just plug and play with the Xbox or the PS4.",does this work with ps4 xbox one
Does the faucet have a screw-in aerator that can be unscrewed? (I'd like the option to attach a hose adapter),"as far as i can tell, the aerator unscrews just like any other faucet, at the end of the head.",does the faucet have a screwin aerator that can be unscrewed id like the option to attach a hose adapter
What does 90 days of service mean? Is that an additional charge? I am lost on the difference in 450 minutes and 90 days of service.,"It adds 90 days of service to your existing time and gives you 450 min... No they don't charge extra, i hope this helps you.",what does 90 days of service mean is that an additional charge i am lost on the difference in 450 minutes and 90 days of service
Can I use this mounted outside of my house (grill application)?,"I am quite sure that you can. I used one on the inside of the house & one on the inside of the garage. I used them that way because, I am going to remodel the kitchen & it was faster and warmer. It was January in Minnesota. Hope this was helpful, Terry S.",can i use this mounted outside of my house grill application
can i use this with my Xbox One?,If the XBOX has a USB port for external storage then I would say yes. The drive is backward compatable with USB 2,can i use this with my xbox one
Tide Hangers Sweater and pant Any one have a current source for these? I have done an internet search and been unable to find them. They are the best for hang drying.,"I sent an email to the Tide Company asking where these could be purchased and was told by them to contact onecareco.com, also, but they are not shown on their website. Best hangers ever and I'm frustrated that I cannot find them anymore.",tide hangers sweater and pant any one have a current source for these i have done an internet search and been unable to find them they are the best for hang drying
"I sprayed this all over my bathroom floor and let it dry. How long before I can wash my floor, and what with? I was thinking vinegar (also deterrent).","When I use this product, I normally spray the area and then wipe clean, or scrub pretty quickly after.",i sprayed this all over my bathroom floor and let it dry how long before i can wash my floor and what with i was thinking vinegar also deterrent
CAN THE HELICOPTER BATERY BE REPLACED ?,"Yes, but you need to know electronics to replace it. You will need specialized tools to replace the battery",can the helicopter batery be replaced
does this come with bulbs?,"No, don't buy them they're crap. I thought they were ok at first but they crack very easily and I ended just buying different tail lights. Stick to factory or go with a different manufacturer.",does this come with bulbs
Can I use a 150 watt LED bulb in this?,"I would say you can use any type LED you wanted....they don't run Hot. Be advised that this lamp is made of a very light aluminum. If you need this for a one use project, never to be used again....it's cheap & ittle work. If you want a heavy duty quality one......go to Wallyworld & pay the $15.",can i use a 150 watt led bulb in this
Would love to know if the expiration date for this product is still October 2014. Thanks,"I received my product awhile back. The expiration date on mine is best used by October, 2013.",would love to know if the expiration date for this product is still october 2014 thanks
How can I get the sg5 sky caddie repaired?,I have not had to get my sg5 repaired or new battery yet after 2 year of service but with a previouse sg2 unit to get both a new battery and some repairs on that unit I had to send it back to sky caddie for repairs.,how can i get the sg5 sky caddie repaired
i need to plug in an air conditioner. Is there a zwave rated for this,"Without knowing whether your air conditioner is 120V and the current demand or 220V and the current demand, this question can not be answered.",i need to plug in an air conditioner is there a zwave rated for this
